公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地 区,省 份,城 市,所属行业,公司网址
300140,启源装备,西安启源机电装备股份有限公司,"XI"" AN QIYUAN MECHANICAL AND ELECTRICAL EQUIPMENT CO.,LTD.",陕西省西安市经济技术开发区凤城十二路98号,300140,启源装备,2010/11/12,"122,000,000","120,637,157",,,,0,0,西北,陕西,西安市,C 制造业,www.sdricom.com
300141,和顺电气,苏州工业园区和顺电气股份有限公司,"Suzhou Industrial Park Heshun Electric Co.,Ltd.",江苏省苏州工业园区和顺路8号,300141,和顺电气,2010/11/12,"166,780,600","105,768,519",,,,0,0,华东,江苏,苏州市,C 制造业,www.cnheshun.com
300142,沃森生物,云南沃森生物技术股份有限公司,"Walvax Biotechnology Co.,Ltd.",云南省昆明市高新开发区北区云南大学科技园2期A3幢4楼,300142,沃森生物,2010/11/12,"234,000,000","157,908,094",,,,0,0,西南,云南,昆明市,C 制造业,www.walvax.com
300143,星河生物,广东星河生物科技股份有限公司,"Starway Bio-technology Co., Ltd",广东省东莞市塘厦镇蛟坪大道83号,300143,星河生物,2010/12/9,"147,400,000","105,879,202",,,,0,0,华南,广东,东莞市,A 农林牧渔,www.starway.com.cn
300144,宋城演艺,宋城演艺发展股份有限公司,SONGCHENG PERFORMANCE DEVELOPMENT CO .，LTD.,浙江省杭州市之江路148号,300144,宋城演艺,2010/12/9,"557,775,000","195,537,605",,,,0,0,华东,浙江,杭州市,N 公共环保,www.chinascgf.com
300145,南方泵业,南方泵业股份有限公司,"Nanfang Pump Industry Co., Ltd.",浙江省杭州余杭区仁和镇,300145,南方泵业,2010/12/9,"262,307,520","174,182,272",,,,0,0,华东,浙江,杭州市,C 制造业,www.nanfang-pump.com
300146,汤臣倍健,汤臣倍健股份有限公司,"BY-HEALTH CO.,LTD",广东省珠海市金湾区三灶科技工业园星汉路19号,300146,汤臣倍健,2010/12/15,"658,010,940","328,900,517",,,,0,0,华南,广东,珠海市,C 制造业,www.by-health.com.cn
300147,香雪制药,广州市香雪制药股份有限公司,"Xiangxue Pharmaceutical Co., Ltd.",广东省广州市萝岗区广州经济技术开发区科学城金峰园路2号,300147,香雪制药,2010/12/15,"509,573,329","508,061,007",,,,0,0,华南,广东,广州市,C 制造业,www.xphcn.com
300148,天舟文化,天舟文化股份有限公司,"TANGEL PUBLISHING CO.,LTD",湖南省长沙县星沙镇茶叶大市场办公楼502、602号,300148,天舟文化,2010/12/15,"351,959,591","226,981,002",,,,0,0,华中,湖南,长沙市,R 文化传播,www.t-angel.com
300149,量子高科,量子高科（中国）生物股份有限公司,"Quanturn Hi-Tech （China）Biological Co.,Ltd",广东省江门市高新区高新西路133号,300149,量子高科,2010/12/22,"301,500,000","176,932,125",,,,0,0,华南,广东,江门市,C 制造业,www.qht.cc
300150,世纪瑞尔,北京世纪瑞尔技术股份有限公司,"Beijing Century Real Technology Co.,Ltd.",北京市海淀区创业路8号3号楼6层3-9,300150,世纪瑞尔,2010/12/22,"270,000,000","178,864,236",,,,0,0,华北,北京,北京市,I 信息技术,www.c-real.com.cn
300151,昌红科技,深圳市昌红科技股份有限公司,"SHENZHEN CHANGHONG TECHNOLOGY Co.,Ltd.",广东省深圳市坪山新区坪山锦龙大道西侧,300151,昌红科技,2010/12/22,"201,000,000","106,325,812",,,,0,0,华南,广东,深圳市,C 制造业,www.sz-changhong.com
300152,燃控科技,徐州燃控科技股份有限公司,"XUZHOU COMBUSTION CONTROL TECHNOLOGY CO.,LTD",江苏省徐州市经济开发区杨山路12号,300152,燃控科技,2010/12/29,"237,600,000","237,600,000",,,,0,0,华东,江苏,徐州市,C 制造业,www.xcc.com.cn
300153,科泰电源,上海科泰电源股份有限公司,"SHANGHAI COOLTECH POWER CO.,LTD.",上海市张江高新区青浦园天辰路1633号,300153,科泰电源,2010/12/29,"160,000,000","159,835,000",,,,0,0,华东,上海,上海市,C 制造业,www.cooltechsh.com
300154,瑞凌股份,深圳市瑞凌实业股份有限公司,"SHENZHEN RILAND INDUSTRY CO., LTD",广东省深圳市宝安区福永街道凤凰第四工业区4号厂房,300154,瑞凌股份,2010/12/29,"223,500,000","155,703,075",,,,0,0,华南,广东,深圳市,C 制造业,www.riland.com.cn
300155,安居宝,广东安居宝数码科技股份有限公司,"GUANGDONG ANJUBAO DIGITAL TECHNOLOGY CO.,LTD.",广东省广州开发区科学城起云路6号,300155,安居宝,2011/1/7,"365,859,588","177,717,251",,,,0,0,华南,广东,广州市,C 制造业,www.anjubao.com
300156,天立环保,天立环保工程股份有限公司,"Tianli environmental engineering co.,Ltd",北京市朝阳区酒仙桥北路5号,300156,天立环保,2011/1/7,"288,720,000","233,673,921",,,,0,0,华北,北京,北京市,C 制造业,www.tlhb.cn
300157,恒泰艾普,恒泰艾普石油天然气技术服务股份有限公司,"LandOcean Energy Services Co., LTD.",北京市海淀区丰秀中路3号院4号楼401室,300157,恒泰艾普,2011/1/7,"597,702,777","414,627,999",,,,0,0,华北,北京,北京市,B 采矿业,www.ldocean.com.cn
300158,振东制药,山西振东制药股份有限公司,"Shanxi Zhendong Pharmaceutical Co.,Ltd",山西省长治县光明南路振东科技园,300158,振东制药,2011/1/7,"288,000,000","115,658,413",,,,0,0,华北,山西,长治市,C 制造业,www.zdjt.com
300159,新研股份,新疆机械研究院股份有限公司,"Xinjiang Machinery Research Institute Co.,Ltd",新疆维吾尔自治区乌鲁木齐经济技术开发区融合南路661号,300159,新研股份,2011/1/7,"360,800,000","281,531,360",,,,0,0,西北,新疆,乌鲁木齐市,C 制造业,www.xjjxy.com.cn
300160,秀强股份,江苏秀强玻璃工艺股份有限公司,"JIANGSU XIUQIANG GLASSWORK CO., LTD.",江苏省宿迁市宿豫区江山大道28号,300160,秀强股份,2011/1/13,"186,800,000","186,800,000",,,,0,0,华东,江苏,宿迁市,C 制造业,www.jsxq.com
300161,华中数控,武汉华中数控股份有限公司,"Wuhan Huazhong Numerical Control Co.,Ltd.",湖北省武汉市东湖开发区华工科技园,300161,华中数控,2011/1/13,"161,745,000","153,793,940",,,,0,0,华中,湖北,武汉市,C 制造业,www.huazhongcnc.com
300162,雷曼光电,深圳雷曼光电科技股份有限公司,"Ledman Optoelectronic Co.,Ltd.",广东省深圳市南山区松白路百旺信高科技工业园二区第八栋,300162,雷曼光电,2011/1/13,"134,000,000","82,730,000",,,,0,0,华南,广东,深圳市,C 制造业,www.ledman.cn
300163,先锋新材,宁波先锋新材料股份有限公司,"NINGBO XIANFENG NEW MATERIAL CO.,LTD",浙江省宁波市鄞州区集士港镇山下庄村,300163,先锋新材,2011/1/13,"158,000,000","95,259,244",,,,0,0,华东,浙江,宁波市,C 制造业,www.aplus.cn;www.chinacurtains.com
300164,通源石油,西安通源石油科技股份有限公司,"TONG OIL TOOLS CO., LTD.",陕西省西安市高新区科技二路70号软件园唐乐阁D301室,300164,通源石油,2011/1/13,"380,160,000","299,765,613",,,,0,0,西北,陕西,西安市,B 采矿业,www.tongoiltools.com
300165,天瑞仪器,江苏天瑞仪器股份有限公司,"Jiangsu Skyray Instrument Co.,Ltd.",江苏省昆山市玉山镇中华园西路1888号天瑞大厦,300165,天瑞仪器,2011/1/25,"153,920,000","88,955,000",,,,0,0,华东,江苏,苏州市,C 制造业,www.skyray-instrument.com
300166,东方国信,北京东方国信科技股份有限公司,Business-intelligence of Oriental Nations Corporation Ltd.,北京市朝阳区望京北路9号D座1108,300166,东方国信,2011/1/25,"259,620,984","153,652,729",,,,0,0,华北,北京,北京市,I 信息技术,www.bonc.com.cn
300167,迪威视讯,深圳市迪威视讯股份有限公司,Shenzhen Dvision Video Communications Co.Ltd.,广东省深圳市南山区西丽镇茶光路南侧深圳集成电路设计应用产业园306-1、307、407、409室,300167,迪威视讯,2011/1/25,"300,240,000","145,243,125",,,,0,0,华南,广东,深圳市,I 信息技术,www.dvision.cn
300168,万达信息,万达信息股份有限公司,"Wonders Information Co.,Ltd.",上海市桂平路481号20号楼5层,300168,万达信息,2011/1/25,"492,816,000","483,053,976",,,,0,0,华东,上海,上海市,I 信息技术,www.wondersgroup.com
